MapChart_ID,Municipio_Nombre,Estado_Sufijo,CVE_ENT,Nom_Limpio,CVEGEO
Ixil_YUC,Ixil,YUC,31,IXIL,31039
Telchac_Pueblo_YUC,Telchac Pueblo,YUC,31,TELCHAC PUEBLO,31082
Motul_YUC,Motul,YUC,31,MOTUL,31052
Baca_YUC,Baca,YUC,31,BACA,31004
Mocochá_YUC,Mocochá,YUC,31,MOCOCHA,31051
Conkal_YUC,Conkal,YUC,31,CONKAL,31013
Benito_Juárez_ROO,Benito Juárez,ROO,23,BENITO JUAREZ,23005
Abalá_YUC,Abalá,YUC,31,ABALA,31001
Sacalum_YUC,Sacalum,YUC,31,SACALUM,31062
Muna_YUC,Muna,YUC,31,MUNA,31053
Santa_Elena_YUC,Santa Elena,YUC,31,SANTA ELENA,31066
Kanasín_YUC,Kanasín,YUC,31,KANASIN,31041
Tixpéhual_YUC,Tixpéhual,YUC,31,TIXPEHUAL,31095
Tahmek_YUC,Tahmek,YUC,31,TAHMEK,31074
Acanceh_YUC,Acanceh,YUC,31,ACANCEH,31002
Seyé_YUC,Seyé,YUC,31,SEYE,31067
Hoctún_YUC,Hoctún,YUC,31,HOCTUN,31035
Izamal_YUC,Izamal,YUC,31,IZAMAL,31040
Xocchel_YUC,Xocchel,YUC,31,XOCCHEL,31103
Kantunil_YUC,Kantunil,YUC,31,KANTUNIL,31042
Sudzal_YUC,Sudzal,YUC,31,SUDZAL,31071
Valladolid_YUC,Valladolid,YUC,31,VALLADOLID,31102
Uayma_YUC,Uayma,YUC,31,UAYMA,31099
Tekom_YUC,Tekom,YUC,31,TEKOM,31081
Cuncunul_YUC,Cuncunul,YUC,31,CUNCUNUL,31014
Tinum_YUC,Tinum,YUC,31,TINUM,31091
Tepakán_YUC,Tepakán,YUC,31,TEPAKAN,31086
Cacalchén_YUC,Cacalchén,YUC,31,CACALCHEN,31007
Temozón_YUC,Temozón,YUC,31,TEMOZON,31085
Calotmul_YUC,Calotmul,YUC,31,CALOTMUL,31008
Tizimín_YUC,Tizimín,YUC,31,TIZIMIN,31096
Sucilá_YUC,Sucilá,YUC,31,SUCILA,31070
Buctzotz_YUC,Buctzotz,YUC,31,BUCTZOTZ,31006
Temax_YUC,Temax,YUC,31,TEMAX,31084
Cansahcab_YUC,Cansahcab,YUC,31,CANSAHCAB,31009
Suma_YUC,Suma,YUC,31,SUMA,31072
Dzitás_YUC,Dzitás,YUC,31,DZITAS,31030
Quintana_Roo_YUC,Quintana Roo,YUC,31,QUINTANA ROO,31060
Tunkás_YUC,Tunkás,YUC,31,TUNKAS,31097
Yaxcabá_YUC,Yaxcabá,YUC,31,YAXCABA,31104
Kaua_YUC,Kaua,YUC,31,KAUA,31043
Chihuahua_CHH,Chihuahua,CHH,08,CHIHUAHUA,08019
